Inspection_ID,Timestamp,Date,Hour,Assembly_Line,Product_Category,Shift,Operator,Inspection_Result,Defect_Type,Severity,Confidence,Inference_Latency_ms,Scrap_Cost_USD
INSP-10011,2026-08-27 02:40:20,2026-08-27,2,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-305 (Priya S.),REJECT,Misalignment,Moderate,0.943,28.61,36.95
INSP-10012,2026-08-27 03:00:20,2026-08-27,3,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.972,23.96,0.0
INSP-10013,2026-08-27 03:23:20,2026-08-27,3,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.981,22.04,0.0
INSP-10014,2026-08-27 03:57:20,2026-08-27,3,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.966,33.59,0.0
INSP-10015,2026-08-27 04:07:20,2026-08-27,4,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-418 (Chen W.),PASS,None,None,0.978,18.86,0.0
INSP-10016,2026-08-27 04:38:20,2026-08-27,4,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.964,20.5,0.0
INSP-10017,2026-08-27 04:58:20,2026-08-27,4,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.961,20.63,0.0
INSP-10018,2026-08-27 05:24:20,2026-08-27,5,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.996,33.32,0.0
INSP-10019,2026-08-27 05:56:20,2026-08-27,5,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.973,21.44,0.0
INSP-10020,2026-08-27 06:09:20,2026-08-27,6,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.971,22.91,0.0
INSP-10021,2026-08-27 06:45:20,2026-08-27,6,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.981,32.2,0.0
INSP-10022,2026-08-27 07:03:20,2026-08-27,7,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.985,24.93,0.0
INSP-10023,2026-08-27 07:28:20,2026-08-27,7,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.986,24.5,0.0
INSP-10024,2026-08-27 07:55:20,2026-08-27,7,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.972,27.66,0.0
INSP-10025,2026-08-27 08:09:20,2026-08-27,8,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.976,25.51,0.0
INSP-10026,2026-08-27 08:45:20,2026-08-27,8,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.985,25.64,0.0
INSP-10027,2026-08-27 09:04:20,2026-08-27,9,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.972,20.03,0.0
INSP-10028,2026-08-27 09:30:20,2026-08-27,9,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.998,18.88,0.0
INSP-10029,2026-08-27 09:57:20,2026-08-27,9,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.998,24.11,0.0
INSP-10030,2026-08-27 10:19:20,2026-08-27,10,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.972,25.24,0.0
INSP-10031,2026-08-27 10:44:20,2026-08-27,10,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-418 (Chen W.),PASS,None,None,0.983,29.39,0.0
INSP-10032,2026-08-27 11:04:20,2026-08-27,11,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.973,32.32,0.0
INSP-10033,2026-08-27 11:20:20,2026-08-27,11,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.983,18.23,0.0
INSP-10034,2026-08-27 11:57:20,2026-08-27,11,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.96,29.9,0.0
INSP-10035,2026-08-27 12:08:20,2026-08-27,12,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.966,22.74,0.0
INSP-10036,2026-08-27 12:32:20,2026-08-27,12,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.973,28.42,0.0
INSP-10037,2026-08-27 13:04:20,2026-08-27,13,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.971,28.8,0.0
INSP-10038,2026-08-27 13:23:20,2026-08-27,13,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-418 (Chen W.),REJECT,Crack,Critical,0.91,22.19,177.83
INSP-10039,2026-08-27 13:44:20,2026-08-27,13,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.986,22.95,0.0
INSP-10040,2026-08-27 14:15:20,2026-08-27,14,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-418 (Chen W.),PASS,None,None,0.973,23.6,0.0
INSP-10041,2026-08-27 14:41:20,2026-08-27,14,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.995,32.27,0.0
INSP-10042,2026-08-27 15:00:20,2026-08-27,15,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.987,28.02,0.0
INSP-10043,2026-08-27 15:30:20,2026-08-27,15,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.985,29.71,0.0
INSP-10044,2026-08-27 15:57:20,2026-08-27,15,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.985,20.66,0.0
INSP-10045,2026-08-27 16:12:20,2026-08-27,16,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.98,34.48,0.0
INSP-10046,2026-08-27 16:35:20,2026-08-27,16,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.985,23.55,0.0
INSP-10047,2026-08-27 16:56:20,2026-08-27,16,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.984,21.47,0.0
INSP-10048,2026-08-27 17:22:20,2026-08-27,17,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.977,22.23,0.0
INSP-10049,2026-08-27 17:47:20,2026-08-27,17,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.963,22.33,0.0
INSP-10050,2026-08-27 18:08:20,2026-08-27,18,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.979,30.52,0.0
INSP-10051,2026-08-27 18:38:20,2026-08-27,18,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.981,32.74,0.0
INSP-10052,2026-08-27 18:58:20,2026-08-27,18,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.976,27.25,0.0
INSP-10053,2026-08-27 19:33:20,2026-08-27,19,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.968,31.85,0.0
INSP-10054,2026-08-27 19:53:20,2026-08-27,19,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.978,20.73,0.0
INSP-10055,2026-08-27 20:09:20,2026-08-27,20,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.971,24.58,0.0
INSP-10056,2026-08-27 20:34:20,2026-08-27,20,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.989,26.21,0.0
INSP-10057,2026-08-27 20:56:20,2026-08-27,20,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.973,25.77,0.0
INSP-10058,2026-08-27 21:26:20,2026-08-27,21,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.998,28.26,0.0
INSP-10059,2026-08-27 21:47:20,2026-08-27,21,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.97,27.58,0.0
INSP-10060,2026-08-27 22:16:20,2026-08-27,22,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.97,28.55,0.0
INSP-10061,2026-08-27 22:42:20,2026-08-27,22,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.963,21.65,0.0
INSP-10062,2026-08-27 23:09:20,2026-08-27,23,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.969,23.19,0.0
INSP-10063,2026-08-27 23:27:20,2026-08-27,23,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.989,22.05,0.0
INSP-10064,2026-08-27 23:52:20,2026-08-27,23,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.975,21.27,0.0
INSP-10065,2026-08-28 00:18:20,2026-08-28,0,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.969,33.77,0.0
INSP-10066,2026-08-28 00:40:20,2026-08-28,0,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.974,29.03,0.0
INSP-10067,2026-08-28 00:56:20,2026-08-28,0,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.973,26.65,0.0
INSP-10068,2026-08-28 01:31:20,2026-08-28,1,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.983,34.1,0.0
INSP-10069,2026-08-28 01:55:20,2026-08-28,1,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-212 (Devin K.),REJECT,Surface_Stain,Moderate,0.917,23.46,24.75
INSP-10070,2026-08-28 02:12:20,2026-08-28,2,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.97,32.19,0.0
INSP-10071,2026-08-28 02:44:20,2026-08-28,2,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.986,30.69,0.0
INSP-10072,2026-08-28 02:55:20,2026-08-28,2,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.964,33.3,0.0
INSP-10073,2026-08-28 03:19:20,2026-08-28,3,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.961,28.43,0.0
INSP-10074,2026-08-28 03:54:20,2026-08-28,3,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.996,31.05,0.0
INSP-10075,2026-08-28 04:08:20,2026-08-28,4,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.987,24.67,0.0
INSP-10076,2026-08-28 04:31:20,2026-08-28,4,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.994,24.43,0.0
INSP-10077,2026-08-28 04:57:20,2026-08-28,4,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.986,32.51,0.0
INSP-10078,2026-08-28 05:27:20,2026-08-28,5,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.969,19.05,0.0
INSP-10079,2026-08-28 05:46:20,2026-08-28,5,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.967,19.41,0.0
INSP-10080,2026-08-28 06:07:20,2026-08-28,6,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.996,25.93,0.0
INSP-10081,2026-08-28 06:34:20,2026-08-28,6,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.962,23.2,0.0
INSP-10082,2026-08-28 06:59:20,2026-08-28,6,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-418 (Chen W.),PASS,None,None,0.979,30.77,0.0
INSP-10083,2026-08-28 07:30:20,2026-08-28,7,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.977,25.79,0.0
INSP-10084,2026-08-28 07:52:20,2026-08-28,7,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-212 (Devin K.),PASS,None,None,0.978,33.71,0.0
INSP-10085,2026-08-28 08:15:20,2026-08-28,8,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.997,18.27,0.0
INSP-10086,2026-08-28 08:33:20,2026-08-28,8,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.994,27.32,0.0
INSP-10087,2026-08-28 09:01:20,2026-08-28,9,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.964,20.02,0.0
INSP-10088,2026-08-28 09:21:20,2026-08-28,9,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.974,32.45,0.0
INSP-10089,2026-08-28 09:57:20,2026-08-28,9,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.967,24.77,0.0
INSP-10090,2026-08-28 10:13:20,2026-08-28,10,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.974,29.13,0.0
INSP-10091,2026-08-28 10:31:20,2026-08-28,10,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.994,24.04,0.0
INSP-10092,2026-08-28 11:02:20,2026-08-28,11,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.969,23.84,0.0
INSP-10093,2026-08-28 11:25:20,2026-08-28,11,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-418 (Chen W.),PASS,None,None,0.975,33.39,0.0
INSP-10094,2026-08-28 11:54:20,2026-08-28,11,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-305 (Priya S.),REJECT,Surface_Stain,Minor,0.908,34.03,45.19
INSP-10095,2026-08-28 12:18:20,2026-08-28,12,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.976,26.78,0.0
INSP-10096,2026-08-28 12:37:20,2026-08-28,12,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.972,21.55,0.0
INSP-10097,2026-08-28 12:57:20,2026-08-28,12,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.973,22.56,0.0
INSP-10098,2026-08-28 13:21:20,2026-08-28,13,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.961,32.33,0.0
INSP-10099,2026-08-28 13:53:20,2026-08-28,13,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-104 (Elena R.),REJECT,Dent,Moderate,0.899,33.49,19.95
INSP-10100,2026-08-28 14:09:20,2026-08-28,14,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.979,27.89,0.0
INSP-10101,2026-08-28 14:32:20,2026-08-28,14,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.979,26.65,0.0
INSP-10102,2026-08-28 14:59:20,2026-08-28,14,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.965,24.92,0.0
INSP-10103,2026-08-28 15:32:20,2026-08-28,15,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.981,32.19,0.0
INSP-10104,2026-08-28 15:52:20,2026-08-28,15,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.994,23.68,0.0
INSP-10105,2026-08-28 16:09:20,2026-08-28,16,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.994,22.49,0.0
INSP-10106,2026-08-28 16:45:20,2026-08-28,16,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.985,31.04,0.0
INSP-10107,2026-08-28 17:04:20,2026-08-28,17,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.978,20.01,0.0
INSP-10108,2026-08-28 17:32:20,2026-08-28,17,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.97,24.39,0.0
INSP-10109,2026-08-28 17:55:20,2026-08-28,17,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.988,20.75,0.0
INSP-10110,2026-08-28 18:21:20,2026-08-28,18,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.97,19.89,0.0
INSP-10111,2026-08-28 18:39:20,2026-08-28,18,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.961,20.91,0.0
INSP-10112,2026-08-28 19:05:20,2026-08-28,19,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-212 (Devin K.),PASS,None,None,0.975,24.3,0.0
INSP-10113,2026-08-28 19:19:20,2026-08-28,19,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.962,32.34,0.0
INSP-10114,2026-08-28 19:48:20,2026-08-28,19,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-104 (Elena R.),REJECT,Scratch,Minor,0.895,30.87,42.87
INSP-10115,2026-08-28 20:18:20,2026-08-28,20,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.984,34.34,0.0
INSP-10116,2026-08-28 20:43:20,2026-08-28,20,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.982,20.36,0.0
INSP-10117,2026-08-28 21:07:20,2026-08-28,21,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-212 (Devin K.),REJECT,Burr,Moderate,0.915,29.85,16.76
INSP-10118,2026-08-28 21:32:20,2026-08-28,21,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.996,32.16,0.0
INSP-10119,2026-08-28 21:46:20,2026-08-28,21,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.969,31.97,0.0
INSP-10120,2026-08-28 22:09:20,2026-08-28,22,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.979,20.39,0.0
INSP-10121,2026-08-28 22:38:20,2026-08-28,22,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.974,23.42,0.0
INSP-10122,2026-08-28 22:56:20,2026-08-28,22,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.963,26.41,0.0
INSP-10123,2026-08-28 23:20:20,2026-08-28,23,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.971,34.1,0.0
INSP-10124,2026-08-28 23:44:20,2026-08-28,23,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.985,27.68,0.0
INSP-10125,2026-08-29 00:20:20,2026-08-29,0,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.989,20.06,0.0
INSP-10126,2026-08-29 00:43:20,2026-08-29,0,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.993,30.0,0.0
INSP-10127,2026-08-29 01:00:20,2026-08-29,1,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.974,34.25,0.0
INSP-10128,2026-08-29 01:30:20,2026-08-29,1,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.991,33.52,0.0
INSP-10129,2026-08-29 01:45:20,2026-08-29,1,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-109 (Marcus V.),PASS,None,None,0.973,28.84,0.0
INSP-10130,2026-08-29 02:16:20,2026-08-29,2,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.961,26.89,0.0
INSP-10131,2026-08-29 02:40:20,2026-08-29,2,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.961,20.97,0.0
INSP-10132,2026-08-29 03:09:20,2026-08-29,3,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-305 (Priya S.),PASS,None,None,0.971,25.64,0.0
INSP-10133,2026-08-29 03:32:20,2026-08-29,3,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.973,19.24,0.0
INSP-10134,2026-08-29 03:46:20,2026-08-29,3,Line-03 (Precision Machining),Machined_Gear,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.969,29.72,0.0
INSP-10135,2026-08-29 04:12:20,2026-08-29,4,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.967,33.43,0.0
INSP-10136,2026-08-29 04:39:20,2026-08-29,4,Line-01 (PCB SMT),Circuit_Board,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.961,28.26,0.0
INSP-10137,2026-08-29 04:55:20,2026-08-29,4,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-104 (Elena R.),PASS,None,None,0.987,20.47,0.0
INSP-10138,2026-08-29 05:22:20,2026-08-29,5,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-104 (Elena R.),PASS,None,None,0.99,21.33,0.0
INSP-10139,2026-08-29 05:50:20,2026-08-29,5,Line-04 (Welding & Joinery),Pipe_Weld,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.982,32.06,0.0
INSP-10140,2026-08-29 06:07:20,2026-08-29,6,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.977,31.09,0.0
